"","Country","Year","Species","totalcatch"
"1","East Greenland","1950","Hooded seal",0
"2","East Greenland","1951","Hooded seal",0
"3","East Greenland","1952","Hooded seal",0
"4","East Greenland","1953","Hooded seal",0
"5","East Greenland","1954","Harp seal",507
"6","East Greenland","1954","Hooded seal",201
"7","East Greenland","1955","Harp seal",223
"8","East Greenland","1955","Hooded seal",344
"9","East Greenland","1956","Harp seal",185
"10","East Greenland","1956","Hooded seal",264
"11","East Greenland","1957","Harp seal",173
"12","East Greenland","1957","Hooded seal",412
"13","East Greenland","1958","Harp seal",390
"14","East Greenland","1958","Hooded seal",365
"15","East Greenland","1959","Harp seal",175
"16","East Greenland","1959","Hooded seal",734
"17","East Greenland","1960","Harp seal",365
"18","East Greenland","1960","Hooded seal",331
"19","East Greenland","1961","Harp seal",232
"20","East Greenland","1961","Hooded seal",1151
"21","East Greenland","1962","Harp seal",221
"22","East Greenland","1962","Hooded seal",1314
"23","East Greenland","1963","Harp seal",235
"24","East Greenland","1963","Hooded seal",1129
"25","East Greenland","1964","Harp seal",132
"26","East Greenland","1964","Hooded seal",918
"27","East Greenland","1965","Harp seal",78
"28","East Greenland","1965","Hooded seal",310
"29","East Greenland","1966","Harp seal",61
"30","East Greenland","1966","Hooded seal",1052
"31","East Greenland","1967","Harp seal",64
"32","East Greenland","1967","Hooded seal",729
"33","East Greenland","1968","Harp seal",184
"34","East Greenland","1968","Hooded seal",661
"35","East Greenland","1969","Harp seal",119
"36","East Greenland","1969","Hooded seal",411
"37","East Greenland","1969","Ringed seal",14000
"38","East Greenland","1970","Bearded seal",372
"39","East Greenland","1970","Harbour seal",3
"40","East Greenland","1970","Harp seal",197
"41","East Greenland","1970","Hooded seal",713
"42","East Greenland","1970","Ringed seal",18241
"43","East Greenland","1971","Bearded seal",187
"44","East Greenland","1971","Harbour seal",2
"45","East Greenland","1971","Harp seal",68
"46","East Greenland","1971","Hooded seal",744
"47","East Greenland","1971","Ringed seal",17568
"48","East Greenland","1972","Bearded seal",195
"49","East Greenland","1972","Harbour seal",9
"50","East Greenland","1972","Harp seal",90
"51","East Greenland","1972","Hooded seal",1827
"52","East Greenland","1972","Ringed seal",15770
"53","East Greenland","1973","Bearded seal",137
"54","East Greenland","1973","Harbour seal",3
"55","East Greenland","1973","Harp seal",138
"56","East Greenland","1973","Hooded seal",677
"57","East Greenland","1973","Ringed seal",15821
"58","East Greenland","1974","Bearded seal",123
"59","East Greenland","1974","Harbour seal",14
"60","East Greenland","1974","Harp seal",171
"61","East Greenland","1974","Hooded seal",1218
"62","East Greenland","1974","Ringed seal",16422
"63","East Greenland","1975","Bearded seal",114
"64","East Greenland","1975","Harbour seal",3
"65","East Greenland","1975","Harp seal",193
"66","East Greenland","1975","Hooded seal",1085
"67","East Greenland","1975","Ringed seal",18789
"68","East Greenland","1976","Bearded seal",296
"69","East Greenland","1976","Harbour seal",9
"70","East Greenland","1976","Harp seal",287
"71","East Greenland","1976","Hooded seal",833
"72","East Greenland","1976","Ringed seal",16163
"73","East Greenland","1977","Bearded seal",145
"74","East Greenland","1977","Harbour seal",7
"75","East Greenland","1977","Harp seal",93
"76","East Greenland","1977","Hooded seal",2258
"77","East Greenland","1977","Ringed seal",13362
"78","East Greenland","1978","Bearded seal",197
"79","East Greenland","1978","Harbour seal",1
"80","East Greenland","1978","Harp seal",438
"81","East Greenland","1978","Hooded seal",2769
"82","East Greenland","1978","Ringed seal",13172
"83","East Greenland","1979","Bearded seal",133
"84","East Greenland","1979","Harbour seal",3
"85","East Greenland","1979","Harp seal",189
"86","East Greenland","1979","Hooded seal",2304
"87","East Greenland","1979","Ringed seal",14242
"88","East Greenland","1980","Bearded seal",198
"89","East Greenland","1980","Harbour seal",6
"90","East Greenland","1980","Harp seal",353
"91","East Greenland","1980","Hooded seal",2637
"92","East Greenland","1980","Ringed seal",12640
"93","East Greenland","1981","Bearded seal",230
"94","East Greenland","1981","Harbour seal",6
"95","East Greenland","1981","Harp seal",476
"96","East Greenland","1981","Hooded seal",2452
"97","East Greenland","1981","Ringed seal",17612
"98","East Greenland","1982","Bearded seal",243
"99","East Greenland","1982","Harbour seal",1
"100","East Greenland","1982","Harp seal",317
"101","East Greenland","1982","Hooded seal",2051
"102","East Greenland","1982","Ringed seal",14067
"103","East Greenland","1983","Bearded seal",276
"104","East Greenland","1983","Harbour seal",0
"105","East Greenland","1983","Harp seal",414
"106","East Greenland","1983","Hooded seal",1330
"107","East Greenland","1983","Ringed seal",15858
"108","East Greenland","1984","Bearded seal",395
"109","East Greenland","1984","Harbour seal",0
"110","East Greenland","1984","Harp seal",586
"111","East Greenland","1984","Hooded seal",1345
"112","East Greenland","1984","Ringed seal",20100
"113","East Greenland","1985","Bearded seal",0
"114","East Greenland","1985","Harbour seal",0
"115","East Greenland","1985","Harp seal",0
"116","East Greenland","1985","Hooded seal",0
"117","East Greenland","1985","Ringed seal",0
"118","East Greenland","1986","Harbour seal",0
"119","East Greenland","1986","Harp seal",570
"120","East Greenland","1986","Hooded seal",3050
"121","East Greenland","1987","Bearded seal",247
"122","East Greenland","1987","Harbour seal",0
"123","East Greenland","1987","Harp seal",1075
"124","East Greenland","1987","Hooded seal",2475
"125","East Greenland","1987","Ringed seal",9322
"126","East Greenland","1988","Bearded seal",478
"127","East Greenland","1988","Harbour seal",0
"128","East Greenland","1988","Harp seal",743
"129","East Greenland","1988","Hooded seal",367
"130","East Greenland","1988","Ringed seal",11758
"131","East Greenland","1989","Bearded seal",67
"132","East Greenland","1989","Harbour seal",0
"133","East Greenland","1989","Harp seal",802
"134","East Greenland","1989","Hooded seal",824
"135","East Greenland","1989","Ringed seal",10333
"136","East Greenland","1990","Bearded seal",58
"137","East Greenland","1990","Harbour seal",0
"138","East Greenland","1990","Harp seal",779
"139","East Greenland","1990","Hooded seal",1509
"140","East Greenland","1990","Ringed seal",10429
"141","East Greenland","1991","Bearded seal",1051
"142","East Greenland","1991","Harbour seal",0
"143","East Greenland","1991","Harp seal",1578
"144","East Greenland","1991","Hooded seal",4241
"145","East Greenland","1991","Ringed seal",13526
"146","East Greenland","1992","Bearded seal",83
"147","East Greenland","1992","Harbour seal",0
"148","East Greenland","1992","Harp seal",1465
"149","East Greenland","1992","Hooded seal",2000
"150","East Greenland","1992","Ringed seal",12873
"151","East Greenland","1993","Bearded seal",407
"152","East Greenland","1993","Harbour seal",44
"153","East Greenland","1993","Harp seal",3247
"154","East Greenland","1993","Hooded seal",2832
"155","East Greenland","1993","Ringed seal",23154
"156","East Greenland","1994","Bearded seal",424
"157","East Greenland","1994","Harbour seal",50
"158","East Greenland","1994","Harp seal",3408
"159","East Greenland","1994","Hooded seal",3341
"160","East Greenland","1994","Ringed seal",22863
"161","East Greenland","1995","Bearded seal",482
"162","East Greenland","1995","Harbour seal",46
"163","East Greenland","1995","Harp seal",3905
"164","East Greenland","1995","Hooded seal",2997
"165","East Greenland","1995","Ringed seal",24290
"166","East Greenland","1996","Bearded seal",504
"167","East Greenland","1996","Harbour seal",36
"168","East Greenland","1996","Harp seal",4945
"169","East Greenland","1996","Hooded seal",4106
"170","East Greenland","1996","Ringed seal",27309
"171","East Greenland","1997","Bearded seal",549
"172","East Greenland","1997","Harbour seal",45
"173","East Greenland","1997","Harp seal",4663
"174","East Greenland","1997","Hooded seal",3100
"175","East Greenland","1997","Ringed seal",24387
"176","East Greenland","1998","Bearded seal",363
"177","East Greenland","1998","Harbour seal",19
"178","East Greenland","1998","Harp seal",1780
"179","East Greenland","1998","Hooded seal",1284
"180","East Greenland","1998","Ringed seal",14211
"181","East Greenland","1998","Walrus",7
"182","East Greenland","1999","Bearded seal",369
"183","East Greenland","1999","Harbour seal",25
"184","East Greenland","1999","Harp seal",3696
"185","East Greenland","1999","Hooded seal",2603
"186","East Greenland","1999","Ringed seal",14555
"187","East Greenland","1999","Walrus",26
"188","East Greenland","2000","Bearded seal",320
"189","East Greenland","2000","Harbour seal",4
"190","East Greenland","2000","Harp seal",2572
"191","East Greenland","2000","Hooded seal",2075
"192","East Greenland","2000","Ringed seal",12575
"193","East Greenland","2000","Walrus",7
"194","East Greenland","2001","Bearded seal",334
"195","East Greenland","2001","Harbour seal",5
"196","East Greenland","2001","Harp seal",2598
"197","East Greenland","2001","Hooded seal",1504
"198","East Greenland","2001","Ringed seal",12572
"199","East Greenland","2001","Walrus",10
"200","East Greenland","2002","Bearded seal",313
"201","East Greenland","2002","Harbour seal",6
"202","East Greenland","2002","Harp seal",1915
"203","East Greenland","2002","Hooded seal",1200
"204","East Greenland","2002","Ringed seal",13768
